Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S37515443,Canada Goose,Branta canadensis,297,50,CA-MB,Churchill and Northern Manitoba,L5942292,Churchill--Blue Balls,58.7658932,-93.9265823,2017-06-09,03:00 PM,IBA Canada (protocol),41,1,2.414,,2
S37577493,Canada Goose,Branta canadensis,297,20,CA-MB,Churchill and Northern Manitoba,L5942292,Churchill--Blue Balls,58.7658932,-93.9265823,2017-06-13,01:00 PM,IBA Canada (protocol),30,1,1.609,,2
S37631613,Canada Goose,Branta canadensis,297,3,CA-MB,Churchill and Northern Manitoba,L5942292,Churchill--Blue Balls,58.7658932,-93.9265823,2017-06-16,11:54 AM,IBA Canada (protocol),12,1,.483,,3
S37839468,Canada Goose,Branta canadensis,297,60,CA-MB,Churchill and Northern Manitoba,L5942292,Churchill--Blue Balls,58.7658932,-93.9265823,2017-06-27,12:35 PM,IBA Canada (protocol),12,1,.322,,2,FL Recently Fledged Young
S38561905,Canada Goose,Branta canadensis,297,X,CA-MB,Churchill and Northern Manitoba,L551010,Churchill--Churchill Northern Studies Centre,58.7340939,-93.8174057,2017-06-02,,Historical,,0,,,,,"Male, Female, Fledglings","CNSC Room 11 Window List, spanning 06/02/17 to 08/09/17. Counts not included"
S37692600,Canada Goose,Branta canadensis,297,6,CA-MB,Churchill and Northern Manitoba,L551010,Churchill--Churchill Northern Studies Centre,58.7340939,-93.8174057,2017-06-19,08:30 AM,eBird - Traveling Count,30,1,.483,,1,,,Walk behind studies center back towards marsh
S37936367,Canada Goose,Branta canadensis,297,6,CA-MB,Churchill and Northern Manitoba,L551010,Churchill--Churchill Northern Studies Centre,58.7340939,-93.8174057,2017-07-02,07:00 AM,IBA Canada (protocol),35,1,.483,,2,FL Recently Fledged Young
S38155644,Canada Goose,Branta canadensis,297,1,CA-MB,Churchill and Northern Manitoba,L551010,Churchill--Churchill Northern Studies Centre,58.7340939,-93.8174057,2017-07-14,10:54 PM,IBA Canada (protocol),12,1,.016,,1,,,Watching from second floor outdoor balcony
S37818430,Canada Goose,Branta canadensis,297,3,CA-MB,Churchill and Northern Manitoba,L6022862,Churchill--Dog Kennel,58.7636233,-94.1153396,2017-06-26,09:57 AM,IBA Canada (protocol),13,1,.322,,2
S37577409,Canada Goose,Branta canadensis,297,2,CA-MB,Churchill and Northern Manitoba,L5942268,Churchill--Drum Roller,58.748461,-93.90903,2017-06-13,12:02 PM,IBA Canada (protocol),8,1,.161,,2
S37359294,Canada Goose,Branta canadensis,297,100,CA-MB,Churchill and Northern Manitoba,L5927475,Churchill--East Point,58.7739924,-93.8298512,2017-06-03,08:45 AM,IBA Canada (protocol),255,1,8.,,2
S37457362,Canada Goose,Branta canadensis,297,100,CA-MB,Churchill and Northern Manitoba,L5927475,Churchill--East Point,58.7739924,-93.8298512,2017-06-07,12:38 PM,IBA Canada (protocol),237,1,7.805,,2
S37515547,Canada Goose,Branta canadensis,297,50,CA-MB,Churchill and Northern Manitoba,L5927475,Churchill--East Point,58.7739924,-93.8298512,2017-06-10,01:31 PM,IBA Canada (protocol),120,1,3.219,,2,NE Nest with Eggs
