common,scientific,order,family
Indian Spot-billed Duck,Anas poecilorhyncha,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Eastern Spot-billed Duck,Anas zonorhyncha,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Indian/Eastern Spot-billed Duck,Anas poecilorhyncha/zonorhyncha,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mallard,Anas platyrhynchos,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mallard (Northern),Anas platyrhynchos platyrhynchos/conboschas,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mallard (Mexican),Anas platyrhynchos diazi,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mallard (Mexican intergrade),Anas platyrhynchos platyrhynchos x diazi,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mallard (Domestic type),Anas platyrhynchos (Domestic type),Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Muscovy Duck x Mallard (hybrid),Cairina moschata x Anas platyrhynchos,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Wood Duck x Mallard (hybrid),Aix sponsa x Anas platyrhynchos,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Northern Shoveler x Mallard (hybrid),Spatula clypeata x Anas platyrhynchos,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Gadwall x Mallard (hybrid),Mareca strepera x Anas platyrhynchos,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Eurasian Wigeon x Mallard (hybrid),Mareca penelope x Anas platyrhynchos,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
American Wigeon x Mallard (hybrid),Mareca americana x Anas platyrhynchos,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Yellow-billed Duck x Mallard (hybrid),Anas undulata x platyrhynchos,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mallard x Pacific Black Duck (hybrid),Anas platyrhynchos x superciliosa,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mallard x Indian Spot-billed Duck (hybrid),Anas platyrhynchos x poecilorhyncha,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mallard x Eastern Spot-billed Duck (hybrid),Anas platyrhynchos x zonorhyncha,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mallard x Hawaiian Duck (hybrid),Anas platyrhynchos x wyvilliana,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
American Black Duck,Anas rubripes,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mallard/American Black Duck,Anas platyrhynchos/rubripes,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mottled Duck,Anas fulvigula,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mottled Duck (Florida),Anas fulvigula fulvigula,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mottled Duck (Gulf Coast),Anas fulvigula maculosa,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mallard x Mottled Duck (hybrid),Anas platyrhynchos x fulvigula,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mallard/Mottled Duck,Anas platyrhynchos/fulvigula,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
American Black/Mottled Duck,Anas rubripes/fulvigula,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Cape Teal,Anas capensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
White-cheeked Pintail,Anas bahamensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
White-cheeked Pintail (White-cheeked),Anas bahamensis bahamensis/rubrirostris,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
White-cheeked Pintail (Galapagos),Anas bahamensis galapagensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mallard x White-cheeked Pintail (hybrid),Anas platyrhynchos x bahamensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Red-billed Duck,Anas erythrorhyncha,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Northern Pintail,Anas acuta,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Baikal Teal x Northern Pintail (hybrid),Sibirionetta formosa x Anas acuta,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Gadwall x Northern Pintail (hybrid),Mareca strepera x Anas acuta,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Eurasian Wigeon x Northern Pintail (hybrid),Mareca penelope x Anas acuta,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
American Wigeon x Northern Pintail (hybrid),Mareca americana x Anas acuta,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mallard x Northern Pintail (hybrid),Anas platyrhynchos x acuta,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
American Black Duck x Northern Pintail (hybrid),Anas rubripes x acuta,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Eaton's Pintail,Anas eatoni,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Yellow-billed Pintail,Anas georgica,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Yellow-billed Pintail (South Georgia),Anas georgica georgica,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Yellow-billed Pintail (South American),Anas georgica spinicauda/niceforoi,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Green-winged Teal,Anas crecca,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Green-winged Teal (Eurasian),Anas crecca crecca/nimia,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Green-winged Teal (American),Anas crecca carolinensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Green-winged Teal (intergrade),Anas crecca crecca/nimia x carolinensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Garganey/Green-winged Teal,Spatula querquedula/Anas crecca,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Blue-winged x Green-winged Teal (hybrid),Spatula discors x Anas crecca,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Cinnamon x Green-winged Teal (hybrid),Spatula cyanoptera x Anas crecca,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Gadwall x Green-winged Teal (hybrid),Mareca strepera x Anas crecca,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
American Wigeon x Green-winged Teal (hybrid),Mareca americana x Anas crecca,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mallard x Green-winged Teal (hybrid),Anas platyrhynchos x crecca,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Northern Pintail x Green-winged Teal (hybrid),Anas acuta x crecca,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Andean Teal,Anas andium,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Andean Teal (Merida),Anas andium altipetens,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Andean Teal (Andean),Anas andium andium,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Yellow-billed Teal,Anas flavirostris,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Yellow-billed Teal (flavirostris),Anas flavirostris flavirostris,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Yellow-billed Teal (oxyptera),Anas flavirostris oxyptera,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Andean/Yellow-billed Teal,Anas andium/flavirostris,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Andaman Teal,Anas albogularis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Sunda Teal,Anas gibberifrons,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Gray Teal,Anas gracilis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Chestnut Teal,Anas castanea,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Bernier's Teal,Anas bernieri,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Auckland Islands Teal,Anas aucklandica,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Campbell Islands Teal,Anas nesiotis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Brown Teal,Anas chlorotis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mallard x Brown Teal (hybrid),Anas platyrhynchos x chlorotis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
teal sp.,Anas sp. (teal sp.),Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
dabbling duck sp.,Anas sp.,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Pink-eared Duck,Malacorhynchus membranaceus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Marbled Teal,Marmaronetta angustirostris,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Pink-headed Duck,Rhodonessa caryophyllacea,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
White-winged Duck,Asarcornis scutulata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Red-crested Pochard,Netta rufina,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mallard x Red-crested Pochard (hybrid),Anas platyrhynchos x Netta rufina,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Southern Pochard,Netta erythrophthalma,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Rosy-billed Pochard,Netta peposaca,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Canvasback,Aythya valisineria,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Redhead,Aythya americana,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mallard x Redhead (hybrid),Anas platyrhynchos x Aythya americana,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Canvasback x Redhead (hybrid),Aythya valisineria x americana,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common Pochard,Aythya ferina,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ring-necked Duck,Aythya collaris,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Canvasback x Ring-necked Duck (hybrid),Aythya valisineria x collaris,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Redhead x Ring-necked Duck (hybrid),Aythya americana x collaris,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ferruginous Duck,Aythya nyroca,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common Pochard x Ferruginous Duck (hybrid),Aythya ferina x nyroca,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Madagascar Pochard,Aythya innotata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Baer's Pochard,Aythya baeri,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ferruginous Duck x Baer's Pochard (hybrid),Aythya nyroca x baeri,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ferruginous Duck/Baer's Pochard,Aythya nyroca/baeri,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
White-eyed Duck,Aythya australis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Tufted Duck,Aythya fuligula,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common Pochard x Tufted Duck (hybrid),Aythya ferina x fuligula,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ring-necked x Tufted Duck (hybrid),Aythya collaris x fuligula,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ferruginous x Tufted Duck (hybrid),Aythya nyroca x fuligula,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
New Zealand Scaup,Aythya novaeseelandiae,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Greater Scaup,Aythya marila,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Redhead x Greater Scaup (hybrid),Aythya americana x marila,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ring-necked Duck x Greater Scaup (hybrid),Aythya collaris x marila,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Tufted Duck x Greater Scaup (hybrid),Aythya fuligula x marila,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Lesser Scaup,Aythya affinis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Redhead x Lesser Scaup (hybrid),Aythya americana x affinis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ring-necked Duck x Lesser Scaup (hybrid),Aythya collaris x affinis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Tufted Duck x Lesser Scaup (hybrid),Aythya fuligula x affinis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Greater/Lesser Scaup,Aythya marila/affinis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Redhead x scaup sp. (hybrid),Aythya americana x marila/affinis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ring-necked Duck x scaup sp. (hybrid),Aythya collaris x marila/affinis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Tufted Duck x scaup sp. (hybrid),Aythya fuligula x marila/affinis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Aythya sp.,Aythya sp.,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Steller's Eider,Polysticta stelleri,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Spectacled Eider,Somateria fischeri,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
King Eider,Somateria spectabilis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common Eider,Somateria mollissima,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common Eider (Eurasian),Somateria mollissima mollissima,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common Eider (Faeroe Is.),Somateria mollissima faeroeensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common Eider (Pacific),Somateria mollissima v-nigrum,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common Eider (Dresser's),Somateria mollissima dresseri,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common Eider (Northern),Somateria mollissima borealis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common Eider (Hudson Bay),Somateria mollissima sedentaria,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Mallard x Common Eider (hybrid),Anas platyrhynchos x Somateria mollissima,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
King/Common Eider,Somateria spectabilis/mollissima,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
King x Common Eider (hybrid),Somateria spectabilis x mollissima,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
eider sp.,Somateria sp.,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Harlequin Duck,Histrionicus histrionicus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Labrador Duck,Camptorhynchus labradorius,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Surf Scoter,Melanitta perspicillata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
White-winged Scoter,Melanitta fusca,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
White-winged Scoter (Velvet),Melanitta fusca fusca,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
White-winged Scoter (Siberian),Melanitta fusca stejnegeri,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
White-winged Scoter (North American),Melanitta fusca deglandi,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Surf x White-winged Scoter (hybrid),Melanitta perspicillata x fusca,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common Scoter,Melanitta nigra,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Black Scoter,Melanitta americana,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Surf/Black Scoter,Melanitta perspicillata/americana,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common/Black Scoter,Melanitta nigra/americana,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
scoter sp.,Melanitta sp.,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Long-tailed Duck,Clangula hyemalis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Bufflehead,Bucephala albeola,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common Goldeneye,Bucephala clangula,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Bufflehead x Common Goldeneye (hybrid),Bucephala albeola x clangula,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Barrow's Goldeneye,Bucephala islandica,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common x Barrow's Goldeneye (hybrid),Bucephala clangula x islandica,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common/Barrow's Goldeneye,Bucephala clangula/islandica,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Smew,Mergellus albellus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Hooded Merganser,Lophodytes cucullatus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Wood Duck x Hooded Merganser (hybrid),Aix sponsa x Lophodytes cucullatus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Bufflehead x Hooded Merganser (hybrid),Bucephala albeola x Lophodytes cucullatus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common Goldeneye x Hooded Merganser (hybrid),Bucephala clangula x Lophodytes cucullatus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Barrow's Goldeneye x Hooded Merganser (hybrid),Bucephala islandica x Lophodytes cucullatus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
goldeneye sp. x Hooded Merganser (hybrid),Bucephala clangula/islandica x Lophodytes cucullatus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Auckland Islands Merganser,Mergus australis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common Merganser,Mergus merganser,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common Merganser (Eurasian),Mergus merganser merganser/orientalis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common Merganser (North American),Mergus merganser americanus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common Eider x Common Merganser (hybrid),Somateria mollissima x Mergus merganser,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Hooded x Common Merganser (hybrid),Lophodytes cucullatus x Mergus merganser,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Brazilian Merganser,Mergus octosetaceus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Red-breasted Merganser,Mergus serrator,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ring-necked Duck x Red-breasted Merganser (hybrid),Aythya collaris x Mergus serrator,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common x Red-breasted Merganser (hybrid),Mergus merganser x serrator,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Common/Red-breasted Merganser,Mergus merganser/serrator,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Scaly-sided Merganser,Mergus squamatus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
merganser sp.,Mergellus/Lophodytes/Mergus sp.,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Black-headed Duck,Heteronetta atricapilla,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Masked Duck,Nomonyx dominicus,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ruddy Duck,Oxyura jamaicensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ruddy Duck (Ruddy),Oxyura jamaicensis jamaicensis/ina,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ruddy Duck (Andean),Oxyura jamaicensis ferruginea,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Masked/Ruddy Duck,Nomonyx dominicus/Oxyura jamaicensis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
White-headed Duck,Oxyura leucocephala,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ruddy x White-headed Duck (hybrid),Oxyura jamaicensis x leucocephala,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Maccoa Duck,Oxyura maccoa,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Lake Duck,Oxyura vittata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Ruddy/Lake Duck,Oxyura jamaicensis/vittata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Blue-billed Duck,Oxyura australis,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Musk Duck,Biziura lobata,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
duck sp.,Anatinae sp.,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
waterfowl sp.,Anatidae sp.,Anseriformes,Anatidae (Ducks/Geese/Waterfowl)
Australian Brushturkey,Alectura lathami,Galliformes,Megapodiidae (Megapodes)
Wattled Brushturkey,Aepypodius arfakianus,Galliformes,Megapodiidae (Megapodes)
Waigeo Brushturkey,Aepypodius bruijnii,Galliformes,Megapodiidae (Megapodes)
Red-billed Brushturkey,Talegalla cuvieri,Galliformes,Megapodiidae (Megapodes)
Yellow-legged Brushturkey,Talegalla fuscirostris,Galliformes,Megapodiidae (Megapodes)
Red-legged Brushturkey,Talegalla jobiensis,Galliformes,Megapodiidae (Megapodes)
Talegalla sp.,Talegalla sp.,Galliformes,Megapodiidae (Megapodes)
Malleefowl,Leipoa ocellata,Galliformes,Megapodiidae (Megapodes)
Maleo,Macrocephalon maleo,Galliformes,Megapodiidae (Megapodes)
Moluccan Scrubfowl,Eulipoa wallacei,Galliformes,Megapodiidae (Megapodes)
Niuafoou Scrubfowl,Megapodius pritchardii,Galliformes,Megapodiidae (Megapodes)
Micronesian Scrubfowl,Megapodius laperouse,Galliformes,Megapodiidae (Megapodes)
Nicobar Scrubfowl,Megapodius nicobariensis,Galliformes,Megapodiidae (Megapodes)
Tabon Scrubfowl,Megapodius cumingii,Galliformes,Megapodiidae (Megapodes)
Sula Scrubfowl,Megapodius bernsteinii,Galliformes,Megapodiidae (Megapodes)
Tanimbar Scrubfowl,Megapodius tenimberensis,Galliformes,Megapodiidae (Megapodes)
Dusky Scrubfowl,Megapodius freycinet,Galliformes,Megapodiidae (Megapodes)
Biak Scrubfowl,Megapodius geelvinkianus,Galliformes,Megapodiidae (Megapodes)
Forsten's Scrubfowl,Megapodius forsteni,Galliformes,Megapodiidae (Megapodes)
Melanesian Scrubfowl,Megapodius eremita,Galliformes,Megapodiidae (Megapodes)
Vanuatu Scrubfowl,Megapodius layardi,Galliformes,Megapodiidae (Megapodes)
New Guinea Scrubfowl,Megapodius decollatus,Galliformes,Megapodiidae (Megapodes)
Orange-footed Scrubfowl,Megapodius reinwardt,Galliformes,Megapodiidae (Megapodes)
Plain Chachalaca,Ortalis vetula,Galliformes,Cracidae (Guans/Chachalacas/Curassows)
Gray-headed Chachalaca,Ortalis cinereiceps,Galliformes,Cracidae (Guans/Chachalacas/Curassows)
Chestnut-winged Chachalaca,Ortalis garrula,Galliformes,Cracidae (Guans/Chachalacas/Curassows)
Rufous-vented Chachalaca,Ortalis ruficauda,Galliformes,Cracidae (Guans/Chachalacas/Curassows)
Rufous-vented Chachalaca (Rufous-vented),Ortalis ruficauda ruficrissa,Galliformes,Cracidae (Guans/Chachalacas/Curassows)
Rufous-vented Chachalaca (Rufous-tipped),Ortalis ruficauda ruficauda,Galliformes,Cracidae (Guans/Chachalacas/Curassows)
Rufous-headed Chachalaca,Ortalis erythroptera,Galliformes,Cracidae (Guans/Chachalacas/Curassows)
Rufous-bellied Chachalaca,Ortalis wagleri,Galliformes,Cracidae (Guans/Chachalacas/Curassows)
West Mexican Chachalaca,Ortalis poliocephala,Galliformes,Cracidae (Guans/Chachalacas/Curassows)
Chaco Chachalaca,Ortalis canicollis,Galliformes,Cracidae (Guans/Chachalacas/Curassows)
White-bellied Chachalaca,Ortalis leucogastra,Galliformes,Cracidae (Guans/Chachalacas/Curassows)
Colombian Chachalaca,Ortalis columbiana,Galliformes,Cracidae (Guans/Chachalacas/Curassows)
Speckled Chachalaca,Ortalis guttata,Galliformes,Cracidae (Guans/Chachalacas/Curassows)
East Brazilian Chachalaca,Ortalis araucuan,Galliformes,Cracidae (Guans/Chachalacas/Curassows)
Scaled Chachalaca,Ortalis squamata,Galliformes,Cracidae (Guans/Chachalacas/Curassows)
Variable Chachalaca,Ortalis motmot,Galliformes,Cracidae (Guans/Chachalacas/Curassows)
Variable Chachalaca (Little),Ortalis motmot motmot,Galliformes,Cracidae (Guans/Chachalacas/Curassows)
